name,address,specialty
晶華美醫診所,臺北市中山區中山北路2段39巷2之2號2、3、4樓,"整形外科,"
楊菘宇整形外科診所,臺北市中山區中山北路二段2號5樓,"整形外科,"
魏嘉宏皮膚科診所,臺北市中山區民權東路三段72號(實際營業:一層、二層),"皮膚科,"
微風整形外科診所,臺北市中山區復興南路一段52號,"整形外科,"
豐秀整形外科診所,臺北市中山區中山北路2段52號2樓,"整形外科,"
大直光澤診所,臺北市中山區敬業二路88號(1樓),"皮膚科,"
至誠整形外科診所,臺北市中山區伊通街87巷3號,"整形外科,"
美朵整形外科診所,臺北市中山區中山北路2段31號5樓,"整形外科,"
莎斐爾整形外科診所,臺北市中山區南京東路2段11號7樓,"整形外科,"
璞蘊整形外科診所,臺北市中山區南京東路2段76號5樓,"整形外科,"
君綺整形外科診所,臺北市中山區南京東路2段111號2樓,"整形外科,"
菁英診所,臺北市內湖區行忠路58號1、2樓,"整形外科,"
三軍總醫院附設民眾診療服務處,臺北市內湖區成功路二段325號；臺北市中正區汀州路3段40號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,整形外科,職業醫學科,西醫一般科,牙醫一般科,中醫一般科,"
雅斯翠診所,臺北市內湖區新湖二路87號1、2樓,"外科,整形外科,"
琢璞診所,臺北市南港區重陽路275號1樓,"皮膚科,"
晶美整形外科診所,臺北市士林區文林路343號(實際使用:1、2、3樓),"整形外科,"
陳建華整形外科診所,臺北市士林區天母西路3號3樓之2,"整形外科,"
蘇惠珍皮膚專科診所,臺北市士林區忠義街８３號,"皮膚科,"
榮庚皮膚科診所,臺北市士林區中正路210之1號1樓,"皮膚科,"
新光醫療財團法人新光吳火獅紀念醫院,臺北市士林區文昌路95號及士商路51號、51號2樓、51號3樓、51號4樓、51號5樓、51號6樓、51號7樓、53號、55號、57號、臺北市士林區基河路252號1樓,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,整形外科,職業醫學科,西醫一般科,牙醫一般科,中醫一般科,"
麗心整形外科診所,臺北市士林區忠誠路二段64號2樓,"整形外科,"
徐永康整形外科診所,臺北市士林區中山北路七段１５號５樓,"整形外科,"
邱耳鼻喉科診所,臺北市北投區石牌路一段二十三號一、二樓,"耳鼻喉科,皮膚科,"
臺北市北投健康管理醫院,臺北市北投區中和街2號,"家庭醫學科,內科,放射診斷科,整形外科,"
采新整形外科診所,臺北市北投區明德路114、116號2樓,"整形外科,"
靚亮診所,臺北市北投區明德路312號(實際使用1樓、地下1樓),"整形外科,"
振興醫療財團法人振興醫院,臺北市北投區振興街４５號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,核子醫學科,急診醫學科,整形外科,西醫一般科,牙醫一般科,中醫一般科,"
醫療財團法人辜公亮基金會和信治癌中心醫院,臺北市北投區立德路１２５號,"內科,外科,兒科,婦產科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,整形外科,西醫一般科,牙醫一般科,"
臺北榮民總醫院,臺北市北投區石牌路二段201號、322號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,整形外科,職業醫學科,西醫一般科,牙醫一般科,中醫一般科,"
依心唯美整形外科診所,臺北市信義區基隆路2段13號2樓、15號2樓,"整形外科,"
采醫緻麗整形外科診所,臺北市信義區基隆路一段155號3樓之3、3樓之4,"整形外科,"
髮拉儷美學植髮診所,臺北市信義區忠孝東路五段139號3樓,"皮膚科,"
忠孝英爵診所,臺北市信義區忠孝東路4段563號2樓,"皮膚科,"
臺北醫學大學附設醫院,臺北市信義區吳興街２５2號、250號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,整形外科,職業醫學科,西醫一般科,牙醫一般科,中醫一般科,"
國立台灣大學醫學院附設醫院,臺北市中正區中山南路７、８號；常德街１號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,整形外科,職業醫學科,西醫一般科,牙醫一般科,"
東京風采整形外科診所,臺北市中正區仁愛路二段48號7樓,"整形外科,"
郵政醫院（委託中英醫療社團法人經營）,臺北市中正區福州街14號,"內科,外科,骨科,神經科,泌尿科,眼科,皮膚科,復健科,麻醉科,放射診斷科,"
美渥館診所,臺北市中正區博愛路224巷5號6樓,"整形外科,"
時尚診所,臺北市中正區忠孝西路一段33號10樓,"整形外科,"
米蘭時尚診所,臺北市中正區忠孝東路1段43號、45號、45號2樓之1、45號2樓之2、45號2樓之3、45號2樓之5、47號、47之1號、45號10樓之1、45號10樓之2,"耳鼻喉科,皮膚科,"
光澤晶漾診所,臺北市中正區館前路18號6樓,"整形外科,"
皇妍時尚整形外科診所,臺北市中正區忠孝西路一段6號8樓,"整形外科,"
君綺美形診所,臺北市中正區忠孝西路1段6號13樓,"整形外科,"
渾然天成診所,臺北市中正區忠孝西路1段45號3樓,"整形外科,"
慕顏時尚美學診所,臺北市中正區衡陽路7號14樓,"耳鼻喉科,整形外科,"
古亭光澤診所,臺北市中正區羅斯福路2段116號、116號2樓、116號2樓之1,"皮膚科,"
羅綺皮膚科診所,臺北市中正區濟南路一段7號4樓,"皮膚科,"
車參聖整形外科診所,臺北市中正區重慶南路1段13號5樓、6樓,"整形外科,"
美學院整形外科診所,臺北市中正區羅斯福路三段312號7樓,"整形外科,"
風華整形外科診所,臺北市中正區忠孝西路1段6號2、3樓,"整形外科,"
美嘉美整形外科診所,臺北市中正區信義路二段251號5樓,"整形外科,"
財團法人台灣省私立台北仁濟院附設仁濟醫院,臺北市萬華區廣州街２００，２４３號,"家庭醫學科,內科,外科,婦產科,骨科,神經科,耳鼻喉科,眼科,皮膚科,復健科,放射診斷科,牙醫一般科,中醫一般科,"
生生整形外科診所,臺北市萬華區成都路96號2樓,"整形外科,"
君綺時尚診所,臺北市萬華區中華路一段90號10樓,"整形外科,"
西園醫療社團法人西園醫院,臺北市萬華區西園路二段266、268、270、272、276號、185、187、189號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,急診醫學科,牙醫一般科,"
